Date,Open,High,Low,Close,Volume
7/23/2019 15:00:00,188.44,188.79,186.99,187.41,0
7/24/2019 15:00:00,187.59,187.77,186.78,186.78,0
7/25/2019 15:00:00,186.82,187.95,186.82,187.7,0
7/26/2019 15:00:00,187.2,187.35,184.6,185.4,0
7/29/2019 15:00:00,185.45,185.87,184.11,184.54,0
7/30/2019 15:00:00,185.29,186.84,185.21,186.84,0
7/31/2019 15:00:00,186.42,187.12,185.84,186.98,0
8/1/2019 15:00:00,186.92,187.82,186.47,187.6,0
8/2/2019 15:00:00,186.42,186.93,185.59,186.69,0
8/5/2019 15:00:00,185.46,185.73,182.28,182.42,0
8/6/2019 15:00:00,181.09,182.49,178.47,181.84,0
8/7/2019 15:00:00,182.75,184.66,182.61,183.93,0
8/8/2019 15:00:00,184.58,186.53,184.58,186.17,0
8/9/2019 15:00:00,186.78,187.49,186.58,186.67,0
8/12/2019 15:00:00,187.21,187.55,185.76,186.22,0
8/13/2019 15:00:00,186.26,186.26,184.4,184.93,0
8/14/2019 15:00:00,186.1,186.88,185.74,186.82,0
8/15/2019 15:00:00,184.83,186.43,183.75,186.43,0
8/16/2019 15:00:00,186.26,187.47,185.92,187.24,0
8/19/2019 15:00:00,188.2,188.66,187.49,187.73,0
8/20/2019 15:00:00,188.39,188.85,187.91,188.79,0
8/21/2019 15:00:00,188.66,189.32,187.66,187.88,0
8/22/2019 15:00:00,188.07,188.42,186.63,187.36,0
8/23/2019 15:00:00,187.41,188.3,186.47,188.3,0
8/26/2019 15:00:00,186.43,187.86,185.17,187.66,0
8/27/2019 15:00:00,188.42,190.16,187.96,189.88,0
8/28/2019 15:00:00,190.29,190.99,189.75,190.26,0
8/29/2019 15:00:00,190.4,191.28,190.36,190.54,0
8/30/2019 15:00:00,191.34,192.86,191.07,192.86,0
9/2/2019 15:00:00,193.11,193.34,191.94,192.1,0
9/3/2019 15:00:00,192.43,192.83,190.87,191.08,0
9/4/2019 15:00:00,191.06,191.59,190.62,191.34,0
9/5/2019 15:00:00,191.58,192.65,191.49,192.65,0
9/6/2019 15:00:00,193.11,193.26,191.92,192.06,0
9/9/2019 15:00:00,192.71,193.68,192.53,193.29,0
9/10/2019 15:00:00,193.7,193.99,192.62,193.39,0
9/11/2019 15:00:00,193.56,194.21,193.08,194.21,0
9/12/2019 15:00:00,194.34,194.67,192.08,192.26,0
9/13/2019 15:00:00,192.76,193.03,190.65,191.45,0
9/16/2019 15:00:00,191.29,191.42,189.62,191.23,0
9/17/2019 15:00:00,191.43,191.79,190.93,191.25,0
9/18/2019 15:00:00,191.18,192.06,191.15,192.06,0
9/19/2019 15:00:00,192.17,192.49,190.91,191.08,0
9/20/2019 15:00:00,191.25,191.51,190.21,190.94,0
9/23/2019 15:00:00,191.27,191.42,189.36,189.8,0
9/24/2019 15:00:00,189.31,189.62,186.92,187.9,0
9/25/2019 15:00:00,187.5,188.36,186.55,188.36,0
9/26/2019 15:00:00,188.72,190.54,188.72,190.54,0
9/27/2019 15:00:00,190.18,190.43,189.22,189.44,0
9/30/2019 15:00:00,189.12,189.36,188.04,188.93,0
10/1/2019 15:00:00,189.1,189.19,187.74,188,0
10/2/2019 15:00:00,187.72,188.55,186.09,186.09,0
10/3/2019 15:00:00,185.58,186.47,184.78,186.31,0
10/4/2019 15:00:00,187.2,187.75,186.78,187.23,0
10/7/2019 15:00:00,187.53,187.76,184.41,184.93,0
